timesteps_total,custom_metrics/game_result/score_reward_episode_mean,custom_metrics/game_result/win_percentage_episode_mean,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms
25900,-0.223404255,0,0.312609413,1.957955039,0.10714047
26600,-0.221052632,0,0.312537202,1.957418716,0.107117827
27300,-0.226804124,0,0.312217534,1.956699798,0.107124673
28000,-0.23,0,0.311858401,1.955631277,0.107123408
28700,-0.21,0,0.313307542,1.957784798,0.10715506
29400,-0.22,0,0.313411247,1.95795256,0.107152624
30100,-0.22,0,0.314298793,1.957715904,0.10716928
30800,-0.22,0,0.314872139,1.956890007,0.107230762
31500,-0.23,0,0.315178492,1.956877704,0.107276862
32200,-0.22,0,0.315837761,1.957009994,0.107273641
32900,-0.2,0,0.316191882,1.956765024,0.107267739
33600,-0.2,0,0.315684922,1.95592214,0.107265086
34300,-0.22,0,0.314237367,1.955522149,0.107161077
35000,-0.22,0,0.314173459,1.954821274,0.107137423
35700,-0.21,0,0.313084939,1.953575448,0.107067838
36400,-0.22,0,0.312471955,1.953332909,0.106985269
37100,-0.23,0,0.313559709,1.95054264,0.106790809
37800,-0.23,0,0.314151296,1.947062487,0.106588031
38500,-0.24,0,0.314212545,1.945644883,0.106506456
39200,-0.24,0,0.314212545,1.945644883,0.106506456
39900,-0.23,0,0.314778725,1.943428547,0.106385285
40600,-0.24,0,0.315437542,1.9409977,0.106361991
41300,-0.25,0,0.315702725,1.941549882,0.106371948
42000,-0.26,0,0.316538068,1.94050589,0.106371817
42700,-0.27,0,0.31675023,1.939612214,0.106330091
43400,-0.3,0,0.317075089,1.938939364,0.106313538
44100,-0.3,0,0.317105618,1.938528557,0.106271299
44800,-0.3,0,0.317310889,1.939964875,0.106258021
45500,-0.3,0,0.31818663,1.940468188,0.106247903
46200,-0.3,0,0.31855912,1.941306754,0.106216501
46900,-0.29,0,0.318576439,1.93932957,0.106192787
47600,-0.28,0,0.318141527,1.937682645,0.1061587
48300,-0.29,0,0.317478099,1.934238935,0.106106426
49000,-0.28,0,0.316597095,1.92669865,0.106063539
49700,-0.29,0,0.316145929,1.923539438,0.106050309
50400,-0.28,0,0.315937998,1.92174646,0.106019042
51100,-0.3,0,0.315275634,1.913791144,0.105975541
51800,-0.3,0,0.315361248,1.91157655,0.106014017
