timesteps_total,custom_metrics/game_result/num_pass_attempts_mean,custom_metrics/game_result/num_pass_success_mean,custom_metrics/game_result/score_reward_episode_mean,custom_metrics/game_result/win_percentage_episode_mean,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms
2800,58.875,0.5,-0.625,0,0.437148268,3.929505696,0.12005022
5600,56.7826087,0.304347826,-0.52173913,0,0.383470612,4.032092506,0.116398386
8400,55.63157895,0.342105263,-0.342105263,0,0.397381824,6.049022099,0.112947376
11200,57.7173913,0.369565217,-0.326086957,0,0.403402254,6.466056287,0.112109956
14000,61.5,0.344827586,-0.310344828,0,0.396028042,6.995932556,0.111019612
16800,64.1641791,0.373134328,-0.328358209,0,0.395002435,7.080034165,0.110587096
19600,64.27631579,0.407894737,-0.328947368,0,0.397236261,7.243566339,0.110464103
22400,67.77011494,0.379310345,-0.310344828,0,0.391863862,7.320574464,0.110136622
25200,68.86734694,0.448979592,-0.306122449,0,0.38653104,7.159929893,0.109791146
28000,67.54,0.44,-0.27,0,0.380735516,7.373149918,0.108830845
30800,70.26,0.54,-0.22,0,0.378982041,7.735644951,0.107733138
33600,72.79,0.54,-0.25,0,0.37403695,7.428772089,0.107738938
36400,74.06,0.57,-0.25,0,0.370028966,7.176873584,0.107807684
39200,74.96,0.57,-0.26,0,0.363017248,6.921383193,0.107808447
42000,74.19,0.61,-0.24,0,0.362518414,6.523636342,0.108009346
44800,74.76,0.57,-0.25,0,0.352986803,6.230667079,0.107838102
47600,72.96,0.56,-0.25,0,0.351626887,5.950400924,0.107794816
50400,72.21,0.63,-0.26,0,0.35102888,5.870820692,0.10777348
53200,69.82,0.62,-0.25,0,0.350369114,5.767558695,0.107838183
56000,69.29,0.55,-0.26,0,0.350533581,5.570771082,0.107908177
58800,73.24,0.5,-0.26,0,0.349908754,5.483921946,0.107994087
61600,71.32,0.52,-0.24,0,0.349954157,5.458624125,0.108018276
64400,70.71,0.53,-0.26,0,0.349311528,5.318097961,0.107899619
67200,70.24,0.52,-0.26,0,0.346960755,5.283290837,0.107773915
70000,70.39,0.53,-0.23,0,0.347010132,5.196995392,0.107820156
72800,69.38,0.61,-0.2,0,0.347181191,5.187293658,0.107791928
75600,69.54,0.6,-0.15,0,0.347740019,5.137764872,0.10789507
78400,70.86,0.63,-0.15,0,0.348069869,5.05737835,0.107964451
81200,71.94,0.62,-0.16,0,0.347903699,5.018803402,0.107906513
84000,74.53,0.65,-0.16,0,0.345946351,5.000955523,0.107828859
86800,73.19,0.66,-0.14,0.01,0.345755182,4.8958619,0.107837457
89600,71.51,0.65,-0.13,0.01,0.344198785,4.894721194,0.10781404
92400,71.43,0.69,-0.16,0.01,0.344970278,4.891547443,0.107872774
95200,70.25,0.76,-0.16,0.01,0.344579106,4.879981938,0.107864227
98000,73.26,0.72,-0.17,0.01,0.343416065,4.798394548,0.107781817
100800,71.33,0.73,-0.19,0.01,0.343456205,4.755178892,0.107784863
103600,73.59,0.67,-0.18,0.01,0.342571054,4.752740968,0.10771118
106400,68.69,0.66,-0.17,0.01,0.343584922,4.781853207,0.107883968
109200,65.98,0.7,-0.2,0,0.344289842,4.752012725,0.107964442
112000,64.8,0.7,-0.2,0,0.344476858,4.748080921,0.108000728
114800,65.56,0.76,-0.18,0,0.345062176,4.702766654,0.108053509
117600,64.59,0.68,-0.16,0,0.344446236,4.666714812,0.108029167
120400,62.99,0.61,-0.15,0,0.34376986,4.63993169,0.108072671
123200,63.29,0.61,-0.15,0,0.344032251,4.65975783,0.108059319
126000,63.74,0.61,-0.16,0,0.343758528,4.653889458,0.108054683
128800,62.92,0.67,-0.17,0,0.344254512,4.633280695,0.108089917
131600,62,0.64,-0.17,0,0.343018904,4.587030754,0.107991703
134400,59.32,0.68,-0.19,0,0.342775181,4.547100582,0.10800124
137200,60.7,0.68,-0.22,0,0.342228203,4.538923818,0.107926967
140000,63.93,0.72,-0.23,0,0.341419883,4.525076823,0.107887401
142800,60.97,0.71,-0.22,0,0.342395061,4.541365097,0.107886073
145600,62.12,0.77,-0.2,0,0.342154963,4.516359058,0.107837936
148400,65.52,0.74,-0.2,0,0.342457256,4.496826069,0.107874707
151200,63.34,0.76,-0.18,0,0.341873703,4.474662893,0.107784236
154000,65.29,0.75,-0.18,0,0.341670797,4.461051968,0.107715043
156800,64.82,0.68,-0.16,0,0.341923977,4.46737653,0.107683175
159600,65.31,0.66,-0.13,0,0.34161417,4.443974127,0.10770183
162400,59.08,0.63,-0.09,0,0.341298983,4.434650462,0.107658612
165200,55.5,0.66,-0.09,0,0.342194763,4.420424444,0.107637265
168000,48.35,0.64,-0.11,0,0.34326543,4.417098812,0.107625278
170800,46.75,0.7,-0.12,0,0.344513704,4.418345934,0.107682607
173600,46.89,0.75,-0.15,0,0.345554075,4.408181177,0.107755043
176400,46.14,0.73,-0.18,0,0.345764938,4.402446322,0.107678998
179200,47.38,0.7,-0.2,0,0.346337071,4.404968665,0.107627307
182000,51.13,0.68,-0.21,0,0.346998224,4.392952854,0.107605616
184800,51.79,0.64,-0.21,0,0.347564009,4.399669212,0.107669224
187600,55.73,0.58,-0.22,0,0.347202518,4.377044593,0.107686127
190400,58.86,0.6,-0.22,0,0.347914684,4.389272625,0.10766948
193200,62.44,0.57,-0.2,0,0.346859613,4.36391561,0.107645444
196000,61.74,0.47,-0.2,0,0.346717387,4.361138006,0.107575947
198800,60.27,0.4,-0.19,0,0.346277087,4.354697329,0.107526857
201600,60.39,0.4,-0.18,0,0.346718622,4.361412994,0.107563608
204400,59.56,0.41,-0.17,0,0.346487646,4.354768963,0.10758196
207200,58.18,0.44,-0.19,0,0.345955247,4.334852808,0.107505176
210000,55.88,0.46,-0.21,0,0.346856597,4.344633183,0.107572509
212800,56.3,0.49,-0.21,0,0.346431207,4.336869403,0.107523962
215600,53.31,0.49,-0.22,0,0.347078111,4.345642921,0.107482785
218400,54.3,0.49,-0.22,0,0.346624764,4.332858808,0.107474052
221200,55.96,0.49,-0.2,0,0.346169258,4.320228853,0.107414666
224000,58.48,0.53,-0.2,0,0.346881069,4.321550739,0.107461099
226800,61.14,0.6,-0.2,0,0.346853834,4.317360656,0.107445602
229600,58.12,0.57,-0.19,0,0.346670006,4.300727715,0.107431809
232400,56.26,0.55,-0.17,0,0.346605691,4.292763717,0.107451109
