timesteps_total,custom_metrics/game_result/num_pass_attempts_mean,custom_metrics/game_result/num_pass_success_mean,custom_metrics/game_result/score_reward_episode_mean,custom_metrics/game_result/win_percentage_episode_mean,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms
2800,69.75,0.5,-0.5,0,0.418639391,4.039796511,0.167719741
5600,72.25,0.5,-0.3125,0,0.363995937,3.878879087,0.141468613
8400,79.61538462,0.346153846,-0.192307692,0,0.355028704,4.091589928,0.130543863
11200,76.38461538,0.384615385,-0.179487179,0,0.354931509,4.126834431,0.125391788
14000,71.90909091,0.345454545,-0.2,0,0.353786158,4.09750659,0.12236846
16800,67.5942029,0.391304348,-0.217391304,0,0.353469165,4.086885427,0.120225421
19600,68.19047619,0.404761905,-0.25,0,0.353359886,4.064123898,0.119238996
22400,70.06185567,0.422680412,-0.24742268,0,0.353739087,4.048258272,0.118587798
25200,66.46,0.42,-0.21,0,0.352117598,4.05686569,0.114417373
28000,63.68,0.46,-0.2,0,0.354209995,4.012445066,0.113394773
30800,65.09,0.45,-0.21,0,0.355582102,3.978765745,0.112602101
33600,66.18,0.49,-0.22,0,0.358405189,3.958537773,0.112220881
36400,69.79,0.53,-0.19,0,0.357296205,3.956630864,0.111253745
39200,74.44,0.47,-0.2,0,0.356611731,3.946705276,0.111094965
42000,75.02,0.45,-0.19,0,0.355572822,3.943859584,0.110719531
44800,75.93,0.52,-0.19,0,0.3551575,3.934493276,0.109879933
47600,75.86,0.5,-0.22,0,0.354128804,3.937968459,0.108988183
50400,77.49,0.46,-0.25,0,0.351901869,3.93401651,0.108704274
53200,76.79,0.49,-0.27,0,0.3520455,3.927559209,0.108301582
56000,74.85,0.46,-0.26,0,0.349843096,3.929729061,0.108139755
58800,74.54,0.44,-0.28,0,0.346374325,3.928469491,0.108203001
61600,71.16,0.41,-0.31,0,0.345518939,3.932877256,0.107956837
64400,67.63,0.48,-0.3,0,0.345063378,3.924674188,0.108158799
67200,68.7,0.48,-0.28,0,0.344703643,3.92455184,0.107890765
70000,69.68,0.44,-0.28,0,0.343548686,3.921458455,0.107999824
72800,74.75,0.44,-0.24,0,0.343526069,3.918479177,0.107959
75600,74.16,0.43,-0.22,0,0.342964138,3.913716168,0.107947208
78400,74.51,0.42,-0.21,0,0.342348637,3.911685329,0.108067375
81200,78.97,0.36,-0.21,0,0.340236113,3.902545859,0.108255004
84000,79.89,0.35,-0.24,0.01,0.340477923,3.904450686,0.10805172
86800,81.36,0.38,-0.21,0.01,0.339793593,3.9023245,0.108065853
89600,84.64,0.39,-0.19,0.01,0.338053263,3.896929161,0.108189764
92400,85.76,0.36,-0.16,0.01,0.338069926,3.894748632,0.107923319
95200,81.11,0.34,-0.16,0.01,0.336638488,3.895387635,0.10781181
98000,76.13,0.34,-0.19,0.01,0.33656317,3.896974608,0.107703394
100800,75.58,0.44,-0.2,0.01,0.334985378,3.897419759,0.107662615
103600,75.85,0.46,-0.21,0.01,0.334118505,3.896086269,0.107666843
106400,75.66,0.43,-0.2,0.01,0.334032479,3.897159001,0.107610179
109200,75.86,0.49,-0.21,0,0.333883133,3.89761292,0.107563723
112000,77.88,0.5,-0.19,0,0.332931334,3.892851901,0.107517402
114800,76.35,0.42,-0.18,0,0.333027839,3.891551407,0.107448773
117600,73.94,0.46,-0.17,0.01,0.332391678,3.892486271,0.107434571
120400,75.96,0.46,-0.16,0.01,0.33262292,3.89269114,0.10748722
123200,80.54,0.46,-0.15,0.01,0.331960147,3.892357818,0.10750897
126000,79.3,0.43,-0.13,0.01,0.331542037,3.888293121,0.107630576
128800,77.14,0.38,-0.13,0.01,0.331778878,3.887769185,0.107577647
131600,74.68,0.4,-0.12,0.01,0.332292666,3.889079249,0.107561772
134400,71.74,0.41,-0.1,0.01,0.333188508,3.886491947,0.107471275
