timesteps_total,custom_metrics/game_result/num_pass_attempts_mean,custom_metrics/game_result/num_pass_success_mean,custom_metrics/game_result/score_reward_episode_mean,custom_metrics/game_result/win_percentage_episode_mean,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms
2800,48.38461538,0.923076923,-0.153846154,0,0.49582082,5.183649685,0.18858315
5600,58.85714286,0.666666667,-0.19047619,0,0.477058964,5.06726533,0.177739262
8400,57.76315789,0.473684211,-0.289473684,0,0.45500551,5.061721769,0.159080794
11200,57.7254902,0.392156863,-0.254901961,0,0.445450615,5.039733829,0.153509487
14000,56.81818182,0.424242424,-0.227272727,0,0.43963103,5.021762183,0.148510191
16800,56.34666667,0.453333333,-0.266666667,0,0.436737328,5.002305629,0.146944072
19600,56.16483516,0.406593407,-0.252747253,0,0.432619328,4.956625529,0.143703187
22400,56.54,0.43,-0.29,0,0.429645615,4.933440924,0.142575227
25200,55.1,0.36,-0.33,0,0.420694238,4.867976234,0.134299723
28000,56.88,0.39,-0.3,0,0.416499154,4.826571575,0.131937822
30800,58.18,0.45,-0.29,0,0.413182257,4.799867197,0.130219931
33600,59.39,0.43,-0.3,0,0.411829458,4.758305336,0.128881027
36400,62.45,0.44,-0.33,0,0.410702566,4.717303131,0.128377196
39200,64.61,0.37,-0.32,0,0.409139233,4.693881149,0.127190288
42000,67.71,0.45,-0.29,0,0.406875173,4.670186751,0.126726557
44800,68.55,0.41,-0.3,0,0.406007293,4.65484274,0.125736056
47600,71.78,0.43,-0.27,0,0.404325126,4.655032769,0.125111329
50400,78.15,0.46,-0.26,0,0.40262336,4.646550279,0.125248915
53200,78.2,0.49,-0.24,0,0.400785737,4.641642558,0.124940632
56000,80.94,0.52,-0.26,0,0.399562313,4.633489872,0.12461586
58800,82.92,0.5,-0.23,0,0.397993985,4.631117486,0.124567221
61600,85.93,0.54,-0.21,0,0.395410958,4.631712879,0.124328981
64400,86,0.65,-0.21,0,0.394160547,4.623670022,0.124186974
67200,86.37,0.72,-0.2,0,0.391471695,4.619325231,0.123933605
70000,87.52,0.71,-0.21,0,0.389919579,4.614297439,0.123863317
72800,90.67,0.69,-0.19,0,0.388520723,4.605084599,0.12361653
75600,93.1,0.68,-0.2,0,0.386036705,4.600711893,0.1236628
78400,93.18,0.67,-0.19,0,0.38596159,4.593898779,0.123609149
81200,93.86,0.64,-0.17,0,0.384659143,4.592274155,0.123399051
84000,99,0.68,-0.18,0,0.382786792,4.588335677,0.123257019
86800,100.13,0.62,-0.18,0,0.381829181,4.58459169,0.12328897
89600,97.84,0.61,-0.17,0,0.38143341,4.581797417,0.122938641
92400,96.04,0.46,-0.16,0,0.380660537,4.576888785,0.122769323
95200,99.07,0.43,-0.14,0,0.379749799,4.572081976,0.122654133
98000,100.67,0.48,-0.16,0,0.379360207,4.565950816,0.122571665
100800,95.19,0.45,-0.16,0,0.379045631,4.562772633,0.12256468
103600,96.24,0.46,-0.17,0,0.378630683,4.562228961,0.122279698
106400,96.99,0.46,-0.16,0,0.378766585,4.559298674,0.122397369
109200,100.15,0.4,-0.14,0,0.378621771,4.554438063,0.12230006
112000,102.4,0.36,-0.14,0,0.37804166,4.554412139,0.122138566
114800,100.13,0.41,-0.16,0,0.377704886,4.551728512,0.122023881
117600,106.41,0.4,-0.18,0,0.377399892,4.553583526,0.122034183
120400,107.23,0.41,-0.2,0,0.377275411,4.55169932,0.122129553
123200,104,0.39,-0.22,0,0.377258612,4.549948065,0.121982024
126000,105.58,0.35,-0.21,0,0.376970613,4.548426812,0.121972285
128800,103.78,0.4,-0.24,0,0.37704866,4.548152575,0.121861244
131600,104.1,0.49,-0.22,0,0.376443543,4.54877539,0.1217929
134400,101.47,0.54,-0.26,0,0.376393132,4.547750621,0.121754805
137200,93.65,0.6,-0.28,0,0.376155199,4.546065411,0.121771769
140000,97.13,0.6,-0.29,0,0.375481372,4.544506637,0.121761523
142800,97.48,0.6,-0.27,0,0.376045885,4.543107477,0.121696113
145600,100.31,0.66,-0.26,0,0.376522475,4.540889528,0.121583915
148400,100.71,0.69,-0.24,0,0.376394288,4.540468136,0.121584563
151200,105.23,0.69,-0.23,0,0.375975889,4.54043027,0.121542191
154000,103.2,0.71,-0.21,0,0.376017849,4.539624916,0.12153356
156800,107.93,0.76,-0.23,0,0.375907112,4.539231826,0.121519183
159600,112.32,0.71,-0.23,0,0.375402348,4.53858417,0.121504757
162400,111.5,0.7,-0.24,0,0.375180428,4.536989928,0.121553188
165200,115.54,0.63,-0.26,0,0.374663317,4.537452269,0.121569737
168000,119.92,0.64,-0.23,0,0.374584508,4.537122769,0.121609095
170800,122.37,0.64,-0.23,0,0.374140967,4.537154643,0.12161826
173600,119.38,0.68,-0.25,0,0.373380811,4.535882806,0.121628478
176400,114.83,0.66,-0.28,0,0.372810971,4.534938005,0.121574657
179200,115.72,0.6,-0.28,0,0.372849013,4.535274011,0.121477717
182000,117.02,0.64,-0.25,0,0.371952479,4.534387418,0.121536115
184800,121.36,0.69,-0.28,0,0.371676986,4.533676155,0.121457886
187600,123.24,0.57,-0.26,0,0.370517202,4.531564749,0.121573195
190400,121.17,0.58,-0.28,0,0.370459095,4.530544765,0.121601301
193200,120.09,0.54,-0.28,0,0.369718612,4.530489005,0.121487002
196000,120.74,0.54,-0.25,0,0.369344574,4.529819344,0.121457089
198800,116.21,0.54,-0.26,0,0.369602902,4.527661561,0.12140796
201600,115.5,0.55,-0.26,0,0.368776228,4.528008962,0.121474016
204400,114.55,0.53,-0.24,0,0.368837889,4.527119118,0.121387231
207200,110.6,0.51,-0.24,0,0.36869113,4.525061908,0.121378936
